,Price,Open,High,Low,Vol.,Change %
2020-10-21,1925.7,1909.0,1932.0,1908.5,0.89,0.0074
2020-10-22,1901.6,1924.0,1925.4,1891.9,1.13,-0.0125
2020-10-23,1902.3,1904.3,1913.7,1893.0,0.39,0.0004
2020-10-24,1902.3,1904.3,1913.7,1893.0,0.39,0.0004
2020-10-25,1902.3,1904.3,1913.7,1893.0,0.39,0.0004
2020-10-26,1903.1,1902.1,1908.0,1890.8,0.28,0.0004
2020-10-27,1909.2,1901.3,1910.8,1898.4,0.33,0.0032
2020-10-28,1876.5,1908.0,1909.8,1867.9,0.28,-0.0171
2020-10-29,1868.0,1877.5,1885.1,1859.2,225.16,-0.0045000000000000005
2020-10-30,1879.9,1867.9,1890.9,1863.3,213.17,0.0064
2020-10-31,1879.9,1867.9,1890.9,1863.3,213.17,0.0064
2020-11-01,1879.9,1867.9,1890.9,1863.3,213.17,0.0064
2020-11-02,1892.5,1877.0,1897.1,1873.3,164.94,0.0067
2020-11-03,1910.4,1896.4,1912.2,1887.6,171.37,0.0095
2020-11-04,1896.2,1910.3,1917.9,1881.8,293.95,-0.0074
2020-11-05,1946.8,1903.4,1954.3,1902.2,297.51,0.026699999999999998
2020-11-06,1951.7,1950.0,1961.8,1937.2,246.78,0.0025
2020-11-07,1951.7,1950.0,1961.8,1937.2,246.78,0.0025
2020-11-08,1951.7,1950.0,1961.8,1937.2,246.78,0.0025
2020-11-09,1854.4,1956.0,1966.1,1848.0,496.09,-0.0499
2020-11-10,1876.4,1864.1,1888.9,1858.9,264.87,0.011899999999999999
2020-11-11,1861.6,1876.1,1882.5,1853.9,215.17,-0.0079
2020-11-12,1873.3,1863.9,1883.0,1860.7,209.93,0.0063
2020-11-13,1886.2,1875.6,1895.8,1872.1,162.54,0.0069
2020-11-14,1886.2,1875.6,1895.8,1872.1,162.54,0.0069
2020-11-15,1886.2,1875.6,1895.8,1872.1,162.54,0.0069
2020-11-16,1887.8,1886.6,1898.0,1861.5,222.94,0.0008
2020-11-17,1885.1,1888.2,1892.7,1876.3,160.88,-0.0014000000000000002
2020-11-18,1873.9,1879.5,1884.2,1860.3,209.0,-0.0059
2020-11-19,1861.5,1872.0,1872.6,1850.0,222.35,-0.0066
2020-11-20,1872.4,1864.8,1879.2,1859.1,186.17,0.0059
2020-11-21,1872.4,1864.8,1879.2,1859.1,186.17,0.0059
2020-11-22,1872.4,1864.8,1879.2,1859.1,186.17,0.0059
2020-11-23,1837.8,1869.8,1875.0,1828.0,319.66,-0.018500000000000003
2020-11-24,1804.6,1835.7,1836.9,1797.1,367.88,-0.0181
2020-11-25,1805.5,1805.2,1816.3,1798.6,205.75,0.0005
2020-11-26,1788.1,1812.1,1822.6,1776.5,282.35,-0.0096
2020-11-27,1784.8,1809.9,1820.0,1772.9,6.58,-0.0018
2020-11-28,1784.8,1809.9,1820.0,1772.9,6.58,-0.0018
2020-11-29,1784.8,1809.9,1820.0,1772.9,6.58,-0.0018
2020-11-30,1778.0,1787.4,1789.9,1764.9,1.61,-0.0038
2020-12-01,1816.6,1777.5,1818.3,1776.4,1.66,0.0217
2020-12-02,1827.6,1814.6,1833.0,1808.1,1.75,0.0060999999999999995
2020-12-03,1838.4,1830.5,1844.0,1824.0,1.37,0.0059
2020-12-04,1837.5,1842.3,1850.1,1830.2,1.25,-0.0005
2020-12-05,1837.5,1842.3,1850.1,1830.2,1.25,-0.0005
2020-12-06,1837.5,1842.3,1850.1,1830.2,1.25,-0.0005
2020-12-07,1863.3,1838.4,1870.2,1823.0,1.17,0.013999999999999999
2020-12-08,1872.3,1864.1,1877.0,1861.7,0.89,0.0048
2020-12-09,1836.1,1872.0,1872.0,1826.8,1.05,-0.019299999999999998
2020-12-10,1835.2,1840.3,1851.2,1831.3,0.74,-0.0005
2020-12-11,1841.4,1838.3,1849.4,1827.7,0.53,0.0034000000000000002
2020-12-12,1841.4,1838.3,1849.4,1827.7,0.53,0.0034000000000000002
